Collection_Date,ID_yyyymmdd,Week,Tox_ug_100g_ELISA,Tox_ug_100g_DEC
5/4/2023,20230504,1,42.38299,NA
5/9/2023,20230509,2,39.00109,NA
5/15/2023,20230515,3,37.98694,<34
5/22/2023,20230522,4,NA,<34
5/23/2023,20230523,4,38.02238,NA
5/30/2023,20230530,5,NA,<34
6/6/2023,20230606,6,104.44997,90
6/8/2023,20230608,6,212.82431,NA
6/13/2023,20230613,7,248.23553,NA
6/15/2023,20230615,7,NA,205
6/20/2023,20230620,8,172.55028,70
6/24/2023,20230624,8,NA,121
6/26/2023,20230626,9,104.3888,NA
7/5/2023,20230705,10,97.36943,NA
7/7/2023,20230707,10,NA,36
7/11/2023,20230711,11,74.48922,<34
7/15/2023,20230715,11,NA,<34
7/18/2023,20230718,12,95.34584,NA
7/24/2023,20230724,13,NA,<34
7/25/2023,20230725,13,,NA
7/31/2023,20230731,14,NA,<34
8/1/2023,20230801,14,27.07762415,NA
8/7/2023,20230807,15,NA,<34
8/8/2023,20230808,15,26.89987385,NA
8/14/2023,20230814,16,NA,<34
8/15/2023,20230815,16,26.0635486,NA
8/21/2023,20230821,17,NA,<34
8/22/2023,20230822,17,18.98870427,NA
8/28/2023,20230828,18,NA,<34
8/29/2023,20230829,18,43.23301915,NA
9/6/2023,20230906,19,62.9593919,NA
9/11/2023,20230911,20,NA,46
9/19/2023,20230919,21,41.2628125,NA
9/25/2023,20230925,22,NA,153
9/28/2023,20230928,22,42.36173857,38
