Pair,Tox_ug_100g,Method,Count_1m_L,Count_5m_L,Count_Net,Copies_L
1,37.98694,ELISA,0,200,2,27605319.79
1,1.771050324,MBA,0,200,2,27605319.79
2,38.02238,ELISA,200,0,0,2812437.5
2,3.170927549,MBA,200,0,0,2812437.5
3,104.44997,ELISA,500,800,1,864640967
3,90,MBA,500,800,1,864640967
4,248.23553,ELISA,100,1400,8,104601300
4,205,MBA,100,1400,8,104601300
5,172.55028,ELISA,800,600,0,91263843.75
5,70,MBA,800,600,0,91263843.75
6,104.3888,ELISA,300,1400,2,131048893.8
6,121,MBA,300,1400,2,131048893.8
7,97.36943,ELISA,1400,800,2,191287284.4
7,36,MBA,1400,800,2,191287284.4
8,74.48922,ELISA,200,400,0,41392532.29
8,4.721785711,MBA,200,400,0,41392532.29
9,54.58124,ELISA,0,200,0,3957540.625
9,6.506560874,MBA,0,200,0,3957540.625
10,27.07762415,ELISA,0,0,0,29975139.59
10,8.600161363,MBA,0,0,0,29975139.59
11,26.89987385,ELISA,0,0,0,3775848.959
11,11.09254989,MBA,0,0,0,3775848.959
12,26.0635486,ELISA,0,0,3,11367531.25
12,14.10298571,MBA,0,0,3,11367531.25
13,18.98870427,ELISA,0,0,0,1190678.125
13,17.79822904,MBA,0,0,0,1190678.125
14,43.23301915,ELISA,0,0,0,2105162.5
14,22.42202527,MBA,0,0,0,2105162.5
15,42.36173857,ELISA,500,0,0,2689418.75
15,38,MBA,500,0,0,2689418.75
