"Pair","PST_ELISA_ug_100g","Date_ELISA","PST_MBA_ug_100g","Date_MBA","Count_1m_L","Count_5m_L","Count_Net","Copies_L","logqpcr","Date","ROS_PST_MBA_ug_100g"
1,37.98694,"5/15/2023",34,"5/15/2023",0,200,2,27605319.79,17.1335190581287,2023-05-15,1.77105032400867
2,38.02238,"5/23/2023",34,"5/22/2023",200,0,0,2812437.5,14.8495621030257,2023-05-23,3.17092754935261
3,104.45,"6/6/2023",90,"6/6/2023",500,800,1,864640967,20.57782491168,2023-06-06,90
4,248.2355,"6/13/2023",205,"6/15/2023",100,1400,8,104601300,18.4656665378161,2023-06-13,205
5,172.5503,"6/20/2023",70,"6/20/2023",800,600,0,91263843.75,18.3292652512485,2023-06-20,70
6,104.3888,"6/26/2023",121,"6/24/2023",300,1400,2,131048893.8,18.691081046645,2023-06-26,121
7,97.36943,"7/5/2023",36,"7/7/2023",1400,800,2,191287284.4,19.0692869627815,2023-07-05,36
8,74.48922,"7/11/2023",34,"7/11/2023",200,400,0,41392532.29,17.5386110430566,2023-07-11,4.72178571109689
9,54.58124,"7/25/2023",34,"7/24/2023",0,200,0,3957540.625,15.1911333360036,2023-07-25,6.50656087416329
10,27.07762,"8/1/2023",34,"7/31/2023",0,0,0,29975139.59,17.2158789157477,2023-08-01,8.60016136348349
11,26.89987,"8/8/2023",34,"8/7/2023",0,0,0,3775848.959,15.1441358051827,2023-08-08,11.0925498923121
12,26.06355,"8/15/2023",34,"8/14/2023",0,0,3,11367531.25,16.2462717137428,2023-08-15,14.1029857117856
13,18.9887,"8/22/2023",34,"8/21/2023",0,0,0,1190678.125,13.9900335557244,2023-08-22,17.7982290371792
14,43.23302,"8/29/2023",34,"8/28/2023",0,0,0,2105162.5,14.5599032192687,2023-08-29,22.4220252653568
15,42.36174,"9/28/2023",38,"9/29/2023",500,0,0,2689418.75,14.8048356501629,2023-09-28,38
